2026-02-09 23:49:25 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-09 23:49:25 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-09 23:49:25 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=8000, relobralo=True, rar=True
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:49:25 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:54:05 - M5Trainer - INFO - [Step  6900/8000] Stage D | L=3.2208e-03 (IC=7.594e-04, BC=6.102e-05, PDE=2.132e-02, Qg=1.143e+02) | k=4.84 mD, f=9.8 | Sw=[0.255,0.505] | 279.8s
2026-02-09 23:54:10 - M5Trainer - INFO - [Step  7000/8000] Stage D | L=2.0698e-03 (IC=6.915e-04, BC=1.770e-05, PDE=2.655e-02, Qg=6.213e+00) | k=4.84 mD, f=9.8 | Sw=[0.259,0.528] | 284.9s
2026-02-09 23:54:15 - M5Trainer - INFO - [Step  7100/8000] Stage D | L=1.9597e-03 (IC=7.734e-04, BC=7.515e-06, PDE=2.377e-02, Qg=5.057e+00) | k=4.84 mD, f=9.8 | Sw=[0.254,0.528] | 289.9s
2026-02-09 23:54:21 - M5Trainer - INFO - [Step  7200/8000] Stage D | L=1.6414e-03 (IC=5.417e-04, BC=9.422e-06, PDE=2.100e-02, Qg=5.387e+00) | k=4.84 mD, f=9.8 | Sw=[0.248,0.504] | 295.7s
2026-02-09 23:54:26 - M5Trainer - INFO - [Step  7300/8000] Stage D | L=1.6511e-03 (IC=5.889e-04, BC=9.842e-06, PDE=1.956e-02, Qg=5.811e+00) | k=4.84 mD, f=9.8 | Sw=[0.244,0.489] | 300.8s
2026-02-09 23:54:31 - M5Trainer - INFO - [Step  7400/8000] Stage D | L=1.0532e-03 (IC=3.628e-04, BC=9.300e-06, PDE=1.485e-02, Qg=8.128e+00) | k=4.84 mD, f=9.8 | Sw=[0.233,0.440] | 305.9s
2026-02-09 23:54:36 - M5Trainer - INFO - [Step  7500/8000] Stage D | L=7.6251e-04 (IC=4.437e-04, BC=7.837e-06, PDE=1.098e-02, Qg=9.463e+00) | k=4.84 mD, f=9.8 | Sw=[0.224,0.416] | 311.1s
2026-02-09 23:54:41 - M5Trainer - INFO - [Step  7600/8000] Stage D | L=5.5703e-04 (IC=2.876e-04, BC=9.796e-06, PDE=8.980e-03, Qg=1.028e+01) | k=4.84 mD, f=9.8 | Sw=[0.224,0.391] | 316.1s
2026-02-09 23:54:46 - M5Trainer - INFO - [Step  7700/8000] Stage D | L=5.0113e-04 (IC=2.386e-04, BC=1.006e-05, PDE=7.980e-03, Qg=1.051e+01) | k=4.84 mD, f=9.8 | Sw=[0.223,0.380] | 321.2s
2026-02-09 23:54:51 - M5Trainer - INFO - [Step  7800/8000] Stage D | L=4.8941e-04 (IC=2.306e-04, BC=1.034e-05, PDE=7.331e-03, Qg=1.066e+01) | k=4.84 mD, f=9.8 | Sw=[0.223,0.378] | 326.4s
