2026-02-10 18:31:23 - M5Trainer - INFO -   torch.compile 已跳过 (Triton 不支持 Windows, 使用 eager 模式)
2026-02-10 18:31:24 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-10 18:31:24 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-10 18:31:24 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=50000, relobralo=True, rar=True
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:31:24 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:41:18 - M5Trainer - INFO - [Step  4100/50000] Stage A | L=1.1323e+00 (IC=8.668e-04, BC=8.045e-05, PDE=1.018e+05, Qg=5.627e+00) | k=5.00 mD, f=9.9 | Sw=[0.160,0.857] | 594.0s
2026-02-10 18:41:35 - M5Trainer - INFO - [Step  4200/50000] Stage A | L=2.0355e+00 (IC=2.495e-03, BC=3.047e-03, PDE=1.359e+05, Qg=5.281e+00) | k=5.00 mD, f=9.9 | Sw=[0.162,0.959] | 610.6s
2026-02-10 18:41:51 - M5Trainer - INFO - [Step  4300/50000] Stage A | L=5.7791e-01 (IC=4.198e-03, BC=5.554e-04, PDE=6.647e+04, Qg=6.204e+00) | k=5.00 mD, f=9.9 | Sw=[0.076,0.976] | 627.2s
2026-02-10 18:42:08 - M5Trainer - INFO - [Step  4400/50000] Stage A | L=9.9645e-02 (IC=2.534e-03, BC=9.699e-04, PDE=2.534e+04, Qg=6.326e+00) | k=5.00 mD, f=9.9 | Sw=[0.078,0.991] | 644.0s
2026-02-10 18:42:25 - M5Trainer - INFO - [Step  4500/50000] Stage A | L=5.9211e+00 (IC=1.152e-03, BC=3.252e-05, PDE=1.982e+05, Qg=4.783e+00) | k=5.00 mD, f=10.0 | Sw=[0.129,0.988] | 660.9s
2026-02-10 18:42:42 - M5Trainer - INFO - [Step  4600/50000] Stage A | L=1.8519e+00 (IC=7.375e-04, BC=4.949e-05, PDE=1.054e+05, Qg=4.919e+00) | k=5.00 mD, f=10.0 | Sw=[0.013,0.988] | 678.2s
2026-02-10 18:42:59 - M5Trainer - INFO - [Step  4700/50000] Stage A | L=3.8951e+00 (IC=2.134e-03, BC=1.607e-03, PDE=1.485e+05, Qg=4.931e+00) | k=5.00 mD, f=9.9 | Sw=[0.081,0.996] | 695.1s
2026-02-10 18:43:15 - M5Trainer - INFO - [Step  4800/50000] Stage A | L=4.0151e+00 (IC=1.192e-03, BC=1.430e-04, PDE=1.374e+05, Qg=4.623e+00) | k=5.00 mD, f=10.0 | Sw=[0.087,0.996] | 710.8s
2026-02-10 18:43:32 - M5Trainer - INFO - [Step  4900/50000] Stage A | L=5.2714e-01 (IC=1.648e-03, BC=1.276e-03, PDE=5.930e+04, Qg=5.323e+00) | k=5.00 mD, f=9.9 | Sw=[0.074,0.994] | 727.7s
2026-02-10 18:43:48 - M5Trainer - INFO - [Step  5000/50000] Stage B | L=5.8368e+02 (IC=9.059e-04, BC=4.900e-04, PDE=2.379e+05, Qg=4.075e+00) | k=5.00 mD, f=9.9 | Sw=[0.170,0.946] | 743.7s
2026-02-10 18:44:05 - M5Trainer - INFO - [Step  5100/50000] Stage B | L=6.2691e+00 (IC=5.755e-03, BC=1.665e-03, PDE=3.786e+03, Qg=7.007e+00) | k=5.00 mD, f=9.9 | Sw=[0.013,0.977] | 760.6s
2026-02-10 18:44:22 - M5Trainer - INFO - [Step  5200/50000] Stage B | L=5.7960e+00 (IC=3.614e-03, BC=7.786e-04, PDE=1.564e+04, Qg=6.839e+00) | k=5.00 mD, f=9.8 | Sw=[0.033,0.998] | 778.1s
2026-02-10 18:44:39 - M5Trainer - INFO - [Step  5300/50000] Stage B | L=3.9790e+00 (IC=9.353e-04, BC=4.237e-03, PDE=5.017e+03, Qg=7.068e+00) | k=5.00 mD, f=9.8 | Sw=[0.152,0.999] | 795.5s
2026-02-10 18:44:56 - M5Trainer - INFO - [Step  5400/50000] Stage B | L=4.6947e+00 (IC=2.387e-03, BC=4.841e-04, PDE=7.750e+03, Qg=6.900e+00) | k=5.00 mD, f=9.8 | Sw=[0.060,0.996] | 812.4s
2026-02-10 18:45:14 - M5Trainer - INFO - [Step  5500/50000] Stage B | L=7.3703e+00 (IC=2.269e-03, BC=2.176e-04, PDE=1.412e+04, Qg=6.830e+00) | k=5.00 mD, f=9.8 | Sw=[0.001,0.999] | 829.8s
2026-02-10 18:45:31 - M5Trainer - INFO - [Step  5600/50000] Stage B | L=7.3095e+00 (IC=2.684e-03, BC=1.127e-03, PDE=1.327e+04, Qg=6.840e+00) | k=5.00 mD, f=9.8 | Sw=[0.091,1.000] | 847.2s
2026-02-10 18:45:49 - M5Trainer - INFO - [Step  5700/50000] Stage B | L=1.1090e+01 (IC=2.411e-03, BC=7.009e-04, PDE=1.859e+04, Qg=6.845e+00) | k=5.00 mD, f=9.8 | Sw=[0.111,1.000] | 865.0s
2026-02-10 18:46:06 - M5Trainer - INFO - [Step  5800/50000] Stage B | L=1.0501e+01 (IC=4.163e-03, BC=5.348e-04, PDE=1.598e+04, Qg=6.840e+00) | k=5.00 mD, f=9.8 | Sw=[0.102,1.000] | 882.3s
2026-02-10 18:46:24 - M5Trainer - INFO - [Step  5900/50000] Stage B | L=1.0679e+01 (IC=2.696e-03, BC=3.920e-04, PDE=1.513e+04, Qg=6.834e+00) | k=5.00 mD, f=9.8 | Sw=[0.038,0.999] | 900.0s
2026-02-10 18:46:42 - M5Trainer - INFO - [Step  6000/50000] Stage B | L=4.2455e+00 (IC=2.353e-02, BC=1.245e-02, PDE=1.025e+04, Qg=6.733e+00) | k=5.00 mD, f=9.8 | Sw=[0.001,0.998] | 917.8s
2026-02-10 18:47:00 - M5Trainer - INFO - [Step  6100/50000] Stage B | L=9.7846e+00 (IC=2.154e-03, BC=2.090e-04, PDE=1.071e+04, Qg=6.847e+00) | k=5.00 mD, f=9.8 | Sw=[0.097,1.000] | 936.1s
2026-02-10 18:47:18 - M5Trainer - INFO - [Step  6200/50000] Stage B | L=1.0516e+01 (IC=5.167e-03, BC=2.994e-03, PDE=1.369e+04, Qg=6.833e+00) | k=5.00 mD, f=9.8 | Sw=[0.001,1.000] | 954.3s
2026-02-10 18:47:36 - M5Trainer - INFO - [Step  6300/50000] Stage B | L=9.0815e+00 (IC=1.630e-03, BC=2.327e-04, PDE=6.248e+03, Qg=6.901e+00) | k=5.00 mD, f=9.8 | Sw=[0.178,1.000] | 972.6s
2026-02-10 18:47:55 - M5Trainer - INFO - [Step  6400/50000] Stage B | L=1.5741e+01 (IC=4.820e-03, BC=1.555e-03, PDE=1.671e+04, Qg=6.846e+00) | k=5.00 mD, f=9.8 | Sw=[0.000,1.000] | 990.9s
